Data width:7, Poly:1001
At time 10 ns, in= 1111111, out= 001, golden = 001 MATCH
At time 20 ns, in= 0000000, out= 000, golden = 000 MATCH
At time 30 ns, in= 1001011, out= 011, golden = 011 MATCH
At time 40 ns, in= 1000010, out= 011, golden = 011 MATCH
At time 50 ns, in= 0100011, out= 111, golden = 111 MATCH
At time 60 ns, in= 1010000, out= 011, golden = 011 MATCH
At time 70 ns, in= 0011101, out= 110, golden = 110 MATCH
At time 80 ns, in= 1000101, out= 100, golden = 100 MATCH
At time 90 ns, in= 0011101, out= 110, golden = 110 MATCH
At time 100 ns, in= 1010110, out= 101, golden = 101 MATCH
At time 110 ns, in= 1010111, out= 100, golden = 100 MATCH
At time 120 ns, in= 1000100, out= 101, golden = 101 MATCH
At time 130 ns, in= 0111111, out= 000, golden = 000 MATCH
At time 140 ns, in= 0111100, out= 011, golden = 011 MATCH
At time 150 ns, in= 1101100, out= 000, golden = 000 MATCH
At time 160 ns, in= 0100011, out= 111, golden = 111 MATCH
At time 170 ns, in= 0111000, out= 111, golden = 111 MATCH
At time 180 ns, in= 1011011, out= 001, golden = 001 MATCH
At time 190 ns, in= 1000011, out= 010, golden = 010 MATCH
At time 200 ns, in= 1000110, out= 111, golden = 111 MATCH
At time 210 ns, in= 1100000, out= 101, golden = 101 MATCH
At time 220 ns, in= 1011011, out= 001, golden = 001 MATCH
At time 230 ns, in= 0011111, out= 100, golden = 100 MATCH
At time 240 ns, in= 0011100, out= 111, golden = 111 MATCH
At time 250 ns, in= 0111110, out= 001, golden = 001 MATCH
At time 260 ns, in= 1011001, out= 011, golden = 011 MATCH
At time 270 ns, in= 0110101, out= 011, golden = 011 MATCH
At time 280 ns, in= 1111000, out= 110, golden = 110 MATCH
At time 290 ns, in= 1010101, out= 110, golden = 110 MATCH
At time 300 ns, in= 1100011, out= 110, golden = 110 MATCH
At time 310 ns, in= 1110010, out= 101, golden = 101 MATCH
At time 320 ns, in= 0101111, out= 010, golden = 010 MATCH
At time 330 ns, in= 1001111, out= 111, golden = 111 MATCH
At time 340 ns, in= 0000101, out= 101, golden = 101 MATCH
At time 350 ns, in= 0101110, out= 011, golden = 011 MATCH
At time 360 ns, in= 1011101, out= 111, golden = 111 MATCH
At time 370 ns, in= 1011010, out= 000, golden = 000 MATCH
At time 380 ns, in= 1011111, out= 101, golden = 101 MATCH
At time 390 ns, in= 1010000, out= 011, golden = 011 MATCH
At time 400 ns, in= 0010100, out= 110, golden = 110 MATCH
At time 410 ns, in= 0100100, out= 000, golden = 000 MATCH
At time 420 ns, in= 1110111, out= 000, golden = 000 MATCH
At time 430 ns, in= 0100111, out= 011, golden = 011 MATCH
At time 440 ns, in= 1010101, out= 110, golden = 110 MATCH
At time 450 ns, in= 0001000, out= 001, golden = 001 MATCH
At time 460 ns, in= 1001100, out= 100, golden = 100 MATCH
At time 470 ns, in= 0011100, out= 111, golden = 111 MATCH
At time 480 ns, in= 1001011, out= 011, golden = 011 MATCH
At time 490 ns, in= 1000110, out= 111, golden = 111 MATCH
At time 500 ns, in= 0000001, out= 001, golden = 001 MATCH
At time 510 ns, in= 0000011, out= 011, golden = 011 MATCH
At time 520 ns, in= 1101010, out= 110, golden = 110 MATCH
At time 530 ns, in= 0001111, out= 110, golden = 110 MATCH
At time 540 ns, in= 1101110, out= 010, golden = 010 MATCH
At time 550 ns, in= 1000000, out= 001, golden = 001 MATCH
At time 560 ns, in= 1100101, out= 000, golden = 000 MATCH
At time 570 ns, in= 1001111, out= 111, golden = 111 MATCH
At time 580 ns, in= 0111010, out= 101, golden = 101 MATCH
At time 590 ns, in= 1101101, out= 001, golden = 001 MATCH
At time 600 ns, in= 0001110, out= 111, golden = 111 MATCH
At time 610 ns, in= 1001101, out= 101, golden = 101 MATCH
At time 620 ns, in= 0111100, out= 011, golden = 011 MATCH
At time 630 ns, in= 1111010, out= 100, golden = 100 MATCH
At time 640 ns, in= 0010101, out= 111, golden = 111 MATCH
At time 650 ns, in= 0011111, out= 100, golden = 100 MATCH
At time 660 ns, in= 0000001, out= 001, golden = 001 MATCH
At time 670 ns, in= 1111001, out= 111, golden = 111 MATCH
At time 680 ns, in= 1110011, out= 100, golden = 100 MATCH
At time 690 ns, in= 1101100, out= 000, golden = 000 MATCH
At time 700 ns, in= 0010101, out= 111, golden = 111 MATCH
At time 710 ns, in= 1101101, out= 001, golden = 001 MATCH
At time 720 ns, in= 1011001, out= 011, golden = 011 MATCH
At time 730 ns, in= 0101010, out= 111, golden = 111 MATCH
At time 740 ns, in= 0110000, out= 110, golden = 110 MATCH
At time 750 ns, in= 1101000, out= 100, golden = 100 MATCH
At time 760 ns, in= 1110010, out= 101, golden = 101 MATCH
At time 770 ns, in= 1111000, out= 110, golden = 110 MATCH
At time 780 ns, in= 1011010, out= 000, golden = 000 MATCH
At time 790 ns, in= 1110011, out= 100, golden = 100 MATCH
At time 800 ns, in= 0111111, out= 000, golden = 000 MATCH
At time 810 ns, in= 1110101, out= 010, golden = 010 MATCH
At time 820 ns, in= 1110111, out= 000, golden = 000 MATCH
At time 830 ns, in= 1110010, out= 101, golden = 101 MATCH
